Datetime;Area of dayzone / m2;Area of nightzone / m2;Q heating system building / W;TSensor of dayzone / K;TSensor of nightzone / K
3810000;64.0;64.0;6890.79248047;291.141540527;293.107940674
3810600;64.0;64.0;6941.52001953;291.141082764;293.108062744
3811200;64.0;64.0;6993.18798828;291.140625;293.108123779
3811800;64.0;64.0;7043.67675781;291.140167236;293.108215332
3812400;64.0;64.0;7091.03759766;291.13973999;293.108276367
3813000;64.0;64.0;7133.86767578;291.139343262;293.10836792
3813600;64.0;64.0;7172.27929688;291.138946533;293.10848999
3814200;64.0;64.0;7207.85009766;291.138580322;293.108581543
3814800;64.0;64.0;7242.54492188;291.138244629;293.108703613
3815400;64.0;64.0;7279.30419922;291.137878418;293.108795166
3816000;64.0;64.0;7318.9609375;291.137512207;293.108856201
3816600;64.0;64.0;7362.60107422;291.137115479;293.108917236
3817200;64.0;64.0;7409.61425781;291.136749268;293.108947754
3817800;64.0;64.0;7458.91210938;291.136383057;293.108978271
3818400;64.0;64.0;7509.25048828;291.135986328;293.108978271
3819000;64.0;64.0;7559.39697266;291.135620117;293.108978271
3819600;64.0;64.0;7608.17578125;291.135253906;293.108978271
3820200;64.0;64.0;7654.09375;291.134918213;293.108978271
3820800;64.0;64.0;7696.65820312;291.134613037;293.109008789
3821400;64.0;64.0;7736.55517578;291.134307861;293.109008789
3822000;64.0;64.0;7774.609375;291.134002686;293.109039307
3822600;64.0;64.0;7811.75878906;291.13369751;293.109039307
3823200;64.0;64.0;7848.97412109;291.133422852;293.109039307
3823800;64.0;64.0;7886.45751953;291.133148193;293.109039307
3824400;64.0;64.0;7923.39599609;291.132904053;293.109039307
3825000;64.0;64.0;7958.94335938;291.132629395;293.109039307
3825600;64.0;64.0;7993.83154297;291.132415771;293.109008789
3826200;64.0;64.0;8031.64404297;291.132141113;293.109008789
3826800;64.0;64.0;4035.87329102;291.131896973;293.108978271
3827400;64.0;64.0;0.0;290.821075439;292.318664551
3828000;64.0;64.0;0.0;290.601501465;291.789825439
3828600;64.0;64.0;0.0;290.443115234;291.400817871
3829200;64.0;64.0;0.0;290.32699585;291.12008667
3829800;64.0;64.0;0.0;290.241607666;290.914764404
3830400;64.0;64.0;0.0;290.181396484;290.764160156
3831000;64.0;64.0;0.0;290.144012451;290.657226562
3831600;64.0;64.0;0.0;290.115600586;290.572845459
3832200;64.0;64.0;0.0;290.092132568;290.502197266
3832800;64.0;64.0;0.0;290.072418213;290.441772461
3833400;64.0;64.0;0.0;290.054351807;290.388092041
3834000;64.0;64.0;0.0;290.035644531;290.337432861
3834600;64.0;64.0;0.0;290.01776123;290.290802002
3835200;64.0;64.0;0.0;290.000549316;290.247680664
3835800;64.0;64.0;0.0;289.983520508;290.207000732
3836400;64.0;64.0;0.0;289.9659729;290.167541504
3837000;64.0;64.0;0.0;289.947875977;290.128814697
3837600;64.0;64.0;0.0;289.929138184;290.090484619
3838200;64.0;64.0;0.0;289.909820557;290.052429199
3838800;64.0;64.0;0.0;289.890045166;290.014678955
3839400;64.0;64.0;0.0;289.870178223;289.97744751
3840000;64.0;64.0;0.0;289.850524902;289.941040039
3840600;64.0;64.0;0.0;289.831237793;289.905670166
3841200;64.0;64.0;0.0;289.81237793;289.87121582
3841800;64.0;64.0;0.0;289.793792725;289.837554932
3842400;64.0;64.0;0.0;289.775268555;289.804321289
3843000;64.0;64.0;0.0;289.756561279;289.771179199
3843600;64.0;64.0;0.0;289.737243652;289.737487793
3844200;64.0;64.0;0.0;289.716430664;289.702087402
3844800;64.0;64.0;0.0;289.693847656;289.664459229
3845400;64.0;64.0;0.0;289.669616699;289.624542236
